"","alpha","beta","eps","T1","L","M"
"y1...247",0.0871753606459885,1.04694022543873,0.01686,3.5,0.205405702294794,0.0962979544494157
"y1...248",0.112926878675544,1.29778220260216,0.00051,4,0.193464408183634,0.115951396862707
"y1...249",0.0102038181943928,0.138007578209012,0.008,19.2,1.48282109996654,0.128666850226109
"y1...250",0.0584226675064869,0.690278143431817,0.00271,7,0.406674427044401,0.13828023739888
"y1...251",0.0416343733794734,0.474135846900064,0.00614,8.4,0.597701656027721,0.148194441390977
"y1...252",0.064925970838684,0.812359102490489,0.0135,4.5,0.258641514442076,0.0972084593965916
"y1...253",0.0997649226123699,1.35928914825383,0.00068,3.5,0.145745880716356,0.0873730319203098
"y1...254",0.102586079680797,1.17931189293675,0.01426,3.2,0.190419057401436,0.100414973471398
"y1...255",0.104749871578991,1.33306832750714,0.00031,3.9,0.166247132057536,0.100156917702149
"y1...256",0.043986693031846,0.58115644435212,0.00332,8,0.425383009778585,0.121319569170048
"y1...257",0.111183473191439,1.3611797055507,0.00054,3.8,0.169135428834077,0.104540437076695
"y1...258",0.0880495408049867,0.94335616116039,0.00182,5.4,0.316174179855565,0.144560775298966
"y1...259",0.145500674596475,1.80816749616465,0.00058,2.5,0.115826196185985,0.0901797168992308
"y1...260",0.0354775030529973,0.418234814918885,0.00563,9.5,0.675054847914265,0.149409220624886
"y1...261",0.138903835423353,1.70983690964726,0.00023,2.8,0.125594196710257,0.0943316373116644
"y1...262",0.147415563061933,1.72778763052989,0.00037,2.8,0.130937402693446,0.10039871522123
"y1...263",0.093711455302789,1.13435769143324,0.00015,4.9,0.224308966408891,0.118296084647924
"y1...264",0.0700709714160922,0.966491813707275,0.00082,5.4,0.224718747407759,0.0998546665869233
"y1...265",0.127047417978862,1.44374255259642,0.00039,3.6,0.171919865303256,0.113677147044568
"y1...266",0.17566953712221,2.30179841687419,0.00198,1.9,0.0861542941271336,0.0807491856327427
"y1...267",0.186522103418253,2.29793488936193,2e-05,1.9,0.0911065291129676,0.0865177618277146
"y1...268",0.094015462317754,1.28113454578242,0.00115,3.7,0.155662244262263,0.0884803211884361
"y1...269",0.0605781490915753,0.709856422052472,0.02064,4.6,0.303020849877536,0.101175020321783
"y1...270",0.150201585892922,2.07399013361212,0.00099,2.1,0.0911844292103255,0.0771155901972194
"y1...271",0.124248986476849,1.49147648211843,0.00143,3.2,0.150367449105584,0.100444329372783
"y1...272",0.132710349944584,1.66675092775211,0.00099,2.8,0.125845314695344,0.091615537628218
"y1...273",0.0380271031415336,0.513542534574366,0.01686,6.2,0.368860891677465,0.0910986155154415
"y1...274",0.104092067353071,1.22118470831619,0.00102,4.3,0.205007007661944,0.115944409375494
"y1...275",0.167608770364117,2.2130084774912,0.00118,1.9,0.0894306938290553,0.0796010662108663
"y1...276",0.0459290586955552,0.514198504440212,0.01576,6.2,0.454360204839305,0.118968120958394
"y1...277",0.0297304750319029,0.387445364235884,0.00397,10.8,0.685420092446436,0.13868191617726
"y1...278",0.121932304761399,1.55168559192391,5e-05,3.2,0.136690209183266,0.0940097359033606
"y1...279",0.0831628941056387,1.00407778982803,0.01721,3.6,0.212766553629275,0.0959130948413167
"y1...280",0.090888962296921,1.06785936397937,4e-05,4.9,0.242526420960197,0.121565750139125
"y1...281",0.0934372121936707,1.11460691890243,3e-05,4.6,0.219637399149877,0.113795266336493
