"","lambda","eps","T2","L","M"
"time...511",0.0394491393074301,0.31145,36.9,10.1593094211246,5.3200725680185
"time...512",0.0396026257087174,0.23261,39.9,16.1639603254955,8.44838616419385
"time...513",0.0410803501993454,0.18397,37.8,25.7207371078739,13.1691869795776
"time...514",0.040301787714162,0.07527,39.4,20.5943644028513,10.648224696485
"time...515",0.0397574207462849,0.20576,36.7,10.8490173013239,5.65007348673463
"time...516",0.0412617507447581,0.24802,45.5,87.856701603468,44.8954787276212
"time...517",0.0391056856745472,0.33111,57.3,95.2954921033274,50.145292929796
"time...518",0.0409610757603965,0.1609,46.4,75.9267379414524,38.8998114650251
"time...519",0.0406104407160304,0.03848,43.9,47.3027925524219,24.3788082563275
"time...520",0.0416519889519413,0.3582,49.9,193.732520438964,98.3598478615337
"time...521",0.0402907504886237,0.08282,34.6,10.958014446621,5.66722099454074
"time...522",0.0399137847821661,0.17048,33.9,8.34610147279149,4.33834624139297
