"","G","r","eps","T2","L","M"
"mu...863",62.7906235507117,30.8733162506091,0.05134,39.5,21.3366521989205,10.9853186961513
"mu...864",62.8492259934867,31.2301282749781,0.04567,39.6,21.6200244819929,11.1208355669642
"mu...865",62.8137484869913,30.9118630573866,0.03447,45.2,45.2616632447979,23.294692108865
"mu...866",62.6965908150584,30.7808886632903,0.03962,44.5,41.2687406786827,21.2793567695909
"mu...867",62.716038185021,31.108975578186,0.05205,37.5,16.3880890841182,8.44755150666003
"mu...868",62.8038944502502,31.1730461143889,0.04363,40.4,24.0267689958975,12.3677289794037
"mu...869",62.7536316052865,30.89548698502,0.0485,42,29.6738401606141,15.286780542787
"mu...870",62.7545796103484,30.9762598929314,0.05419,44.4,40.7278344769908,20.9810422740528
"mu...871",62.6943554908937,30.8327316874674,0.03754,38.2,17.9737045020756,9.26809191887287
"mu...872",62.7830724200389,30.7543804248989,0.06841,35.7,12.9237971573686,6.65470402485736
"mu...873",62.6739678242906,31.1594205583853,0.0392,42,29.67383964738,15.3062130776066
"mu...874",62.6390065593,31.0353012701867,0.06207,33.6,9.79630391245092,5.05590134876028
"mu...875",62.785729578426,30.8059969524477,0.06253,38.5,18.6993838582751,9.62825342040602
"mu...876",62.7879034326554,31.583532350107,0.04044,38.4,18.4542921427202,9.50172824898736
"mu...877",62.7546990413145,31.0683997768509,0.0522,35.5,12.587235147138,6.48433162316672
"mu...878",62.7425710489094,31.3212086582552,0.04905,42.6,32.1183441558089,16.5490076385817
"mu...879",62.7181518588615,31.3013833570453,0.05231,34.8,11.4768061306896,5.91573830851706
"mu...880",62.8185093583261,31.5194301748174,0.06235,37.2,15.7521056550001,8.106476640535
"mu...881",62.778619662085,31.0818021323349,0.0536,34.3,10.7441372491551,5.53274896387374
"mu...882",62.675212700715,30.5885575280669,0.06465,39.7,21.9071602651236,11.2998171145454
"mu...883",62.7040673924616,31.1383736461019,0.05117,39.3,20.7810022245343,10.7140071331507
"mu...884",62.6815730154592,30.9318338457476,0.05442,40.2,23.4010623435022,12.0691548220548
"mu...885",62.6901891190635,30.7818095355673,0.04451,37.8,17.0497494686181,8.79224151745068
"mu...886",62.7370229264026,31.0071167317444,0.05146,37.5,16.3880889590999,8.44472579607672
"mu...887",62.7211383638828,31.6631729266364,0.05815,33.4,9.54118820322069,4.91778685601756
"mu...888",62.7264189172729,30.8697379531025,0.04474,40.4,24.0267687886434,12.383004871372
"mu...889",62.8113515996053,30.9149407080161,0.04589,40.3,23.7118515824214,12.2041778739091
"mu...890",62.7603757606329,31.35109380349,0.04907,41.5,27.7794889391394,14.3093503293329
"mu...891",62.759747833005,30.9309158507915,0.05029,33.2,9.29271602055857,4.78677095211257
"mu...892",62.7869993189208,31.197758154983,0.04713,40.4,24.02676904517,12.3710569566141
"mu...893",62.7749848070493,30.9144695106684,0.04562,44,38.6341822305886,19.8960232264384
"mu...894",62.6512854548734,31.6786161628734,0.06264,33.4,9.54118789586821,4.92327030456948
"mu...895",62.7290678569714,30.6985479852336,0.05001,35.5,12.5872348294826,6.48698168830712
"mu...896",62.7431794051431,31.3438123268997,0.04908,39.9,22.4929217644924,11.5893892676387
"mu...897",62.7620706922652,31.2684806814022,0.0426,39.3,20.7810020611747,10.7041059612417
"mu...898",62.725771858564,31.1064027942123,0.04981,35.7,12.9237970861901,6.66078295081172
"mu...899",62.69405698864,30.6337867235631,0.05797,34.4,10.8868303413131,5.61379087725464
"mu...900",62.7069439904257,31.2297401288804,0.04134,42.4,31.2819161183361,16.1271964327292
"mu...901",62.7293964394778,30.7392556405105,0.04838,39,19.9745402796085,10.2940630899629
"mu...902",62.7363421323281,30.9242437809101,0.04693,36.8,14.9423534744263,7.69982824608948
"mu...903",62.8756023953662,31.2320778966677,0.0434,42,29.6738400043907,15.2571268186355
"mu...904",62.693054602571,31.3910675869679,0.05016,38.4,18.4542920146153,9.51610380671791
"mu...905",62.682855758594,31.3667028265892,0.06658,32.4,8.36187128346054,4.31256709191981
"mu...906",62.7602402785997,30.9429054093912,0.06484,33.5,9.66790456757954,4.97999543982227
"mu...907",62.8083849780867,30.9934480599867,0.0577,37.5,16.3880885082898,8.43513195189248
"mu...908",62.8302514049589,30.6589642770646,0.04266,39.3,20.7810017662459,10.6924907064384
"mu...909",62.6822269735575,31.035350816913,0.04337,40,22.7916506438509,11.7547259287788
"mu...910",62.6782161183024,31.101407437874,0.04972,41,26.0060724090374,13.4134127451025
"mu...911",62.809746914803,30.7794542562346,0.03677,44.9,43.5051642575024,22.3921059695985
"mu...912",62.716949207068,31.3319651559808,0.0537,39.2,20.5086267969282,10.5714086757576
"mu...913",62.7422147783932,30.6696658051707,0.04638,37.5,16.3880883526938,8.44402810570962
"mu...914",62.7390895962635,30.9464812323903,0.04759,36.2,13.8051021366166,7.11348781642249
"mu...915",62.7260393784948,30.7480427232363,0.04342,40.2,23.4010618006334,12.060599987145
"mu...916",62.936350400835,31.1398189576959,0.03495,44.8,42.9349449800911,22.0541617459684
"mu...917",62.6856632145483,31.1424430218965,0.06807,33.8,10.0582415766118,5.18722380182449
"mu...918",62.743604008196,31.2522090984546,0.04519,48.4,69.0378508465808,35.5712388205774
"mu...919",62.749456363835,31.0168913985487,0.05904,34.7,11.3263800731028,5.83528925347468
"mu...920",62.8887179657711,31.0739225142402,0.05625,35.5,12.587234829481,6.47051375311028
"mu...921",62.7170231748536,30.9793484604478,0.04269,49.5,79.8208139695827,41.1445108228842
"mu...922",62.7819038105919,30.6763669512806,0.06578,31.9,7.82805699536389,4.03088753463888
"mu...923",62.7039100363462,31.0965218200524,0.03893,42.6,32.1183438379504,16.559212960095
"mu...924",62.6549113492646,31.2905903006243,0.06614,36.8,14.9423535288637,7.70983535467448
"mu...925",62.6720363331566,31.3621924488957,0.06585,35,11.7836773791292,6.07838496990412
"mu...926",62.7403777129565,31.046036722136,0.04776,34.4,10.8868300992683,5.60964657233
"mu...927",62.7237020594711,31.0996094446341,0.0506,36.2,13.8051021268937,7.11523277108417
"mu...928",62.769095459691,31.4707764739476,0.05192,35.6,12.7544057591837,6.56894370020912
"mu...929",62.8680940810131,31.0631896748365,0.05183,38.4,18.4542922994564,9.48960804749703
"mu...930",62.7128339131609,31.0025606756065,0.04665,35.9,13.2693584552304,6.84029266110775
"mu...931",62.6668875208004,31.220227334162,0.04832,37,15.3418882204244,7.91447049266833
"mu...932",62.6679951047685,30.8928906433834,0.05242,36.9,15.1408034024878,7.81059789424022
"mu...933",62.688069527613,31.1649739722427,0.02936,43.2,34.7642235667156,17.9278749134552
"mu...934",62.7493712940549,31.1670389160064,0.04346,41.1,26.3514589458087,13.5761439697855
"mu...935",62.6429413597908,31.3313665963801,0.05764,35.3,12.2594368828982,6.32673454312957
"mu...936",62.6846322247872,30.783841671935,0.04296,40.7,24.9968374692816,12.8915510153911
"mu...937",62.8254941031686,31.3933807103448,0.04855,35.2,12.0987537788029,6.22566723068748
"mu...938",62.6636269124668,31.2138422388051,0.05048,41.4,27.4153854735259,14.1436015272439
"mu...939",62.7233894515355,31.2684236833513,0.04113,40.1,23.0943464312882,11.9030243581778
