"","lambda","eps","T4","L","M"
"time...686",0.0403673169766798,0.01082,50.9,93.3759803400898,48.2075140288874
"time...687",0.0394564821994161,0.01095,55,93.1398003265793,48.7656573981641
"time...688",0.0404556579672937,0.01088,49.8,91.0437503627936,46.9966852488496
"time...689",0.0409717112726941,0.01099,47.7,90.9643293035101,46.5929629125717
"time...690",0.0396062621414485,0.01098,53.9,91.3244186359898,47.728318027886
"time...691",0.0406206216888008,0.01068,48.9,93.5557916912551,48.2054629925738
"time...692",0.0379310279248504,0.01094,63.8,95.1471248843634,51.0506373818319
"time...693",0.0407971184084587,0.01073,48.9,93.5777250875653,48.0250346146339
"time...694",0.0411024244488159,0.01095,46.7,90.7521568655068,46.4428027066065
"time...695",0.041861558925569,0.01084,43.8,89.5394971799103,45.3520759164435
"time...696",0.0411683369289525,0.01097,46.7,90.7677824705696,46.3825500410922
"time...697",0.0399360320266209,0.01081,53,94.0174299080183,48.8456520823244
"time...698",0.0416455375073818,0.01051,45,94.138353606576,47.8017220788923
"time...699",0.042090416312162,0.01104,42.7,88.8911270028861,44.9021439591504
"time...700",0.0411575628474638,0.01081,46.8,90.7652282427779,46.392383853918
"time...701",0.04055954254287,0.01091,49.8,91.0502111863357,46.8893055917038
"time...702",0.0406008420079283,0.01082,48.8,91.0357800439803,46.9280116359287
"time...703",0.0413823221723114,0.01081,45.8,90.4667234286088,46.1056872570223
"time...704",0.040423535330663,0.01087,49.8,91.0417516673705,47.0300042414045
"time...705",0.0400784835215672,0.01114,51.7,90.7746392669481,47.0896825172682
"time...706",0.0393200061199755,0.0112,55.9,90.3746282488537,47.3919137779246
"time...707",0.0419575934228131,0.01084,42.8,88.8315666134971,45.0019913007139
"time...708",0.0403002070924934,0.0108,50.9,93.3759150077362,48.2813499500286
"time...709",0.0405126807436077,0.01075,49.9,93.5180990749442,48.2114516471233
"time...710",0.0413179057393392,0.01079,45.8,90.4478666157666,46.1619694311084
"time...711",0.0408920125984859,0.01112,47.6,89.6946712970354,46.0248538431506
"time...712",0.0398494294506659,0.01078,53,94.0284105541255,48.9491828538939
"time...713",0.0401105897951911,0.01115,51.7,90.7727555858798,47.0539894074352
"time...714",0.0396448984648248,0.01113,53.8,91.3173008536596,47.6817052754755
"time...715",0.0396832488879162,0.01087,54,93.6137286087502,48.8372309120805
"time...716",0.0399331753562231,0.01067,53.1,95.2174310126936,49.472356781226
"time...717",0.0406503747727078,0.01069,48.9,93.5594896481466,48.1749433247199
"time...718",0.0401056986357749,0.01115,51.7,90.7730424165497,47.0594250224252
"time...719",0.0406904129203269,0.0107,48.9,93.5644647437111,48.1339272308547
"time...720",0.0411335616877847,0.01096,46.7,90.7595386045616,46.4143152651774
"time...721",0.0395670181460239,0.01059,55.3,96.5943897245381,50.4440188930677
