"","alpha","beta","eps","T2","L","M"
"time...449",0.0657122495116015,0.796922171964379,0.03838,47,64.5519421244811,24.8769690702556
"time...450",0.171566481148657,2.15168278178592,0.04932,39.5,16.0983529609418,15.3930378846518
"time...451",0.0381534472687965,0.44812787203864,0.04585,39.3,24.2598111744354,5.72065017480124
"time...452",0.105287342481601,1.21676661210514,0.04769,40.5,38.0475658119643,21.6650566173013
"time...453",0.024181743075535,0.308303558554421,0.03449,50.5,43.2389352284393,7.300894906778
"time...454",0.146550969061388,1.84691458019342,0.0453,38.9,15.3359272760583,12.6860297755638
"time...455",0.118811304191512,1.36317300269586,0.03522,41.5,45.7242977313273,28.9281779240583
"time...456",0.0118615819778157,0.134823048738791,0.12147,43.8,17.3077476481653,1.58259717981459
"time...457",0.0330688858291884,0.42725815439049,0.03866,49.4,44.5824415968027,9.85274284391283
"time...458",0.106326719968942,1.26658527309179,0.03873,37.5,20.3114266558703,11.9357207947825
