"","G","r","eps","T3","L","M"
"mu...167",62.821990445001,30.8794586288374,0.00162,6,0.257077211538932,0.132135633730359
"mu...168",62.7423183688975,30.9408285174903,0.00162,6,0.257077227491525,0.132303420094953
"mu...169",62.7339928681024,31.2949382550507,0.00161,6,0.257077210809219,0.132320981698703
"mu...170",62.6838855567587,30.9247093460538,0.00162,6,0.257077213664071,0.132426753896939
"mu...171",62.7351583133314,31.1978487575462,0.00153,6.1,0.260454009942339,0.134078387361209
"mu...172",62.6936470231469,30.6058151064381,0.00162,6,0.257077215827196,0.132406134153198
"mu...173",62.6814780114564,30.9712280429792,0.00162,6,0.257077196902201,0.132431843943194
"mu...174",62.6686771489931,30.558200846057,0.00162,6,0.257077218967752,0.132458889740255
"mu...175",62.8180169657357,31.2599109127913,0.00161,6,0.257077214951089,0.132143991027884
"mu...176",62.7284433011709,31.0467846773635,0.00162,6,0.257077200791997,0.132332690389273
"mu...177",62.7013213166205,31.3633205339638,0.00161,6,0.257077188268035,0.132389934610454
"mu...178",62.6603678982623,31.3604749314208,0.00153,6.1,0.26045400469566,0.134238422498264
"mu...179",62.6762144663177,31.4412517263323,0.00161,6,0.257077194550337,0.132442965761967
"mu...180",62.674703353527,30.8349693578046,0.00162,6,0.257077201603606,0.132446157629866
"mu...181",62.7197241896847,31.1767474516593,0.00162,6,0.25707723711955,0.132351079135711
"mu...182",62.7060826010583,31.5040960732851,0.00161,6,0.25707722732713,0.132379873855276
"mu...183",62.6897890632696,31.4436949829413,0.00161,6,0.257077211931678,0.132414283616329
"mu...184",62.7669536182731,31.5505422842885,0.00161,6,0.257077211538896,0.132251496068094
"mu...185",62.6300492102931,30.8924752595226,0.00162,6,0.257077226102476,0.132540584368488
"mu...186",62.5763360137846,31.2472884391008,0.00162,6,0.257077217583722,0.132654353974993
"mu...187",62.6643061180457,30.9748572447422,0.00162,6,0.257077204594281,0.13246813253984
"mu...188",62.7267576295755,31.0504855121376,0.00162,6,0.257077216081399,0.132336243036917
"mu...189",62.7048448465371,31.144757091285,0.00162,6,0.25707721812154,0.13238248882653
"mu...190",62.7133650114087,30.8817209192634,0.00162,6,0.257077220883254,0.132364502933215
"mu...191",62.7116771100266,31.1144524015054,0.00162,6,0.257077215183999,0.132368066713205
"mu...192",62.7078522050544,31.350422288889,0.00161,6,0.257077218341057,0.132376140053712
"mu...193",62.7228582182486,31.5093778482507,0.00161,6,0.257077229122328,0.132344467647666
"mu...194",62.7399870253091,30.7516234980437,0.00162,6,0.257077215645835,0.132308338920177
"mu...195",62.7287199012706,31.0442239978513,0.00162,6,0.257077213730453,0.132332103783981
"mu...196",62.681393445917,30.3698655037967,0.00162,6,0.257077195118244,0.132432022726914
"mu...197",62.6100178514272,31.1006205850116,0.00162,6,0.257077218070642,0.13258299080994
"mu...198",62.6862237196086,31.0559964480821,0.00162,6,0.257077228736406,0.132421811064257
"mu...199",62.6557167263929,30.6990232052186,0.00162,6,0.257077220574121,0.132486289046533
"mu...200",62.8275159892575,30.7879658159856,0.00162,6,0.257077196005665,0.132124015541928
"mu...201",62.8179969491534,31.6462061706332,0.00161,6,0.257077205826158,0.132144034954642
